Auto.,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Echtzeit vom Büro,Echtzeit vom Büro.1,Echtzeit vom Büro.2,Auto..1,Auto. ,Echtzeit vom Büro.3,Unnamed: 17,Unnamed: 18
KW,Geplantes Ankunftsdatum lt Liste DHL,Ist Datum,SCI,Lenkzeit,Soure Location,LS Nummern,Status,Anzahl Paletten,Arrival Monitor ,SCI OTM,Ankunft Office,Entladung gestartet ,Entladung beendet ,Wartezeit bis Entladebeginn   ,Entladungszeit  ,Unloaded at Bayreuth (Documents finished),Bemerkungen( bei Shuttle SKU),
nn,dd.mm.yy,dd.mm.yy,10000xxxxx,in Minuten,Schreibe,Schreibe,Auswahlliste,nn,80,ok,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,hh:mm,Schreibe,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,1000451831,,Pecs 3,4300936846 / 9185200528,Eingelagert,33,80,ok,15:05:00,15:15:00,15:40:00,00:10:00,00:25:00,15:50:00,,00:35:00
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 6,9185214384,Eingelagert,33,80,,16:05:00,16:30:00,16:50:00,00:25:00,00:20:00,,SKU 10186065 / 10186194 / 10188936,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 7,9185243807,Eingelagert,33,80,,17:25:00,18:20:00,18:45:00,00:55:00,00:25:00,,SKU 10186059,
3,2024-01-16 00:00:00,2024-01-16 00:00:00,,,Shuttle LC 8,9185283606,Eingelagert,33,80,,19:30:00,19:40:00,19:55:00,00:10:00,00:15:00,,SKU 10186059,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 1,9185288748,Eingelagert,33,80,,06:15:00,06:15:00,06:35:00,00:00:00,00:20:00,,SKU 10186059 / 10186065,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 2,9185286212,Eingelagert,33,80,,07:45:00,07:45:00,08:05:00,00:00:00,00:20:00,,SKU 10186194 / 10188936,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,480,Gizeh 4,186911555,Eingelagert,34,,,08:20:00,08:30:00,08:45:00,00:10:00,00:15:00,,,00:25:00
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,420,Gizeh 5,186915483,Eingelagert,34,,,08:45:00,09:00:00,09:15:00,00:15:00,00:15:00,,,00:30:00
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 3,9185291555,Eingelagert,33,80,,09:15:00,09:15:00,09:35:00,00:00:00,00:20:00,,SKU 10186194 / 10186201,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 4,9185301098,Eingelagert,33,80,,12:00:00,12:00:00,,00:00:00,1903-12-31 12:00:00,,SKU 10186059 / 10188935 / 10188936,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,1000452131,150,Pecs 4,4300936988 / 9185258721,Eingelagert,33,,ok,12:40:00,12:45:00,13:00:00,00:05:00,00:15:00,13:05:00,,00:20:00
3,2024-01-17 00:00:00,2024-01-17 00:00:00,1000451705,120,Kanfanar 2,4300937136 / 9185238414 4300937401 / 9185286786,Eingelagert,9 // 6,,ok,12:55:00,13:05:00,13:20:00,00:10:00,00:15:00,13:25:00,,00:25:00
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 5,9185261409,Eingelagert,33,80,,13:00:00,13:05:00,13:25:00,00:05:00,00:20:00,,SKU 10186059,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 6,9185284158,Eingelagert,33,80,,15:10:00,15:15:00,15:30:00,00:05:00,00:15:00,,SKU 10186059,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 7,9185306237,Eingelagert,33,80,,16:40:00,16:50:00,17:10:00,00:10:00,00:20:00,,SKU 10186059,
3,2024-01-17 00:00:00,2024-01-17 00:00:00,,,Shuttle LC 8,9185171801,Eingelagert,33,80,,18:20:00,18:50:00,19:15:00,00:30:00,00:25:00,,SKU 10186059,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC1,9185299164,Eingelagert,33,80,,06:45:00,06:50:00,,00:05:00,1903-12-31 17:10:00,,SKU 10186059 / 10188952,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,360,Gizeh 6,186919875,Eingelagert,34,,,07:00:00,07:15:00,07:40:00,00:15:00,00:25:00,07:45:00,,00:40:00
3,2024-01-18 00:00:00,2024-01-18 00:00:00,1000451702,300,Poznan 2,4200215073 / 9185284156,Eingelagert,45,,,07:40:00,07:55:00,08:20:00,00:15:00,00:25:00,08:50:00,,00:40:00
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC 2,9185216919,Eingelagert,33,80,,08:00:00,08:05:00,1904-01-09 00:00:00,00:05:00,1904-01-08 15:55:00,,SKU 10186263 / 10186059,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC 3,9185321367,Eingelagert,33,80,,09:00:00,09:30:00,09:45:00,00:30:00,00:15:00,,SKU 10186059 / 10186199,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,600,Gizeh 7,186921454,Eingelagert,34,,,09:45:00,09:50:00,10:20:00,00:05:00,00:30:00,,,00:35:00
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC 4,9184973532,Eingelagert,33,80,,11:25:00,11:30:00,11:50:00,00:05:00,00:20:00,,SKU 10186059,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,1000452127,180,Pecs 5,4200215151 / 9185164651 4300937399 / 9185281028,Eingelagert,33 // 1,80,ok,13:40:00,14:10:00,14:40:00,00:30:00,00:30:00,15:30:00,,01:00:00
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC 5,9185276682,Eingelagert,33,80,,13:25:00,13:30:00,13:45:00,00:05:00,00:15:00,,SKU 10186059 / 10186199,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC 6,9185334585,Eingelagert,33,80,,15:00:00,15:35:00,15:50:00,00:35:00,00:15:00,,SKU 10186059 / 10186199 / 10186200,
3,2024-01-18 00:00:00,2024-01-18 00:00:00,,,Shuttle LC 7,9185342785,Eingelagert,33,80,,17:20:00,18:10:00,18:30:00,00:50:00,00:20:00,,SKU 10186059 / 10186200   ,
