"plz","ort","bundesland","landkreis","lon","lat"
"04209","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.25333,51.33139
"04229","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.33611,51.32194
"04249","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.31,51.27583
"04275","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.38028,51.32361
"04277","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.37833,51.30806
"04279","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.39194,51.285
"04288","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.48306,51.29833
"04289","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.44111,51.30056
"04299","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.41806,51.32333
"04315","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.41083,51.34444
"04316","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.47639,51.33639
"04317","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.39694,51.33556
"04318","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.41667,51.355
"04319","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.48194,51.32556
"04328","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.43306,51.39306
"04329","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.45639,51.36639
"04347","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.41583,51.36583
"04349","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.45306,51.38306
"04356","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.40806,51.41167
"04357","Leipzig","Sachsen","Kreisfreie Stadt Leipzig",12.39111,51.38611
"04416","Markkleeberg","Sachsen","Landkreis Leipzig",12.36667,51.28333
"04420","Markranstädt","Sachsen","Landkreis Leipzig",12.21667,51.3
"04425","Taucha","Sachsen","Landkreis Nordsachsen",12.5,51.38333
"04435","Schkeuditz","Sachsen","Landkreis Nordsachsen",12.21667,51.4
"04442","Zwenkau","Sachsen","Landkreis Leipzig",12.31667,51.21667
"04463","Großpösna","Sachsen","Landkreis Leipzig",12.5,51.26667
"04509","Delitzsch","Sachsen","Landkreis Nordsachsen",12.35,51.51667
"04523","Pegau","Sachsen","Landkreis Leipzig",12.25,51.16667
"04539","Groitzsch","Sachsen","Landkreis Leipzig",12.28333,51.15
"04552","Borna","Sachsen","Landkreis Leipzig",12.5,51.11667
"04564","Böhlen","Sachsen","Landkreis Leipzig",12.38333,51.2
"04565","Regis-Breitingen","Sachsen","Landkreis Leipzig",12.45,51.08333
"04567","Kitzscher","Sachsen","Landkreis Leipzig",12.55,51.16667
"04571","Rötha","Sachsen","Landkreis Leipzig",12.41667,51.2
"04575","Neukieritzsch","Sachsen","Landkreis Leipzig",12.4,51.15
"04600","Altenburg","Thüringen","Landkreis Altenburger Land",12.43333,50.98333
"04603","Nobitz","Thüringen","Landkreis Altenburger Land",12.5,50.95
"04610","Meuselwitz","Thüringen","Landkreis Altenburger Land",12.3,51.05
"04613","Langenleuba-Niederhain","Thüringen","Landkreis Altenburger Land",12.56667,50.98333
"04617","Starkenberg","Thüringen","Landkreis Altenburger Land",12.31667,51
"04618","Löbichau","Thüringen","Landkreis Altenburger Land",12.23333,50.91667
"04626","Schmölln","Thüringen","Landkreis Altenburger Land",12.35,50.9
"04639","Göpfersdorf","Thüringen","Landkreis Altenburger Land",12.66667,50.96667
"04643","Geithain","Sachsen","Landkreis Leipzig",12.7,51.05
"04651","Bad Lausick","Sachsen","Landkreis Leipzig",12.65,51.15
"04654","Frohburg","Sachsen","Landkreis Leipzig",12.55,51.05
"04655","Kohren-Sahlis","Sachsen","Landkreis Leipzig",12.6,51.01667
"04668","Grimma","Sachsen","Landkreis Leipzig",12.71667,51.23333
"04680","Colditz","Sachsen","Landkreis Leipzig",12.81667,51.13333
"04683","Naunhof","Sachsen","Landkreis Leipzig",12.58333,51.28333
"04687","Trebsen/Mulde","Sachsen","Landkreis Leipzig",12.65,51.26667
"04703","Leisnig","Sachsen","Landkreis Mittelsachsen",12.93333,51.16667
