ID,CreatedTimestamp,CreatedBy,UpdatedTimestamp,UpdatedBy,SapOrderNumber,SSCC,Printer,Copies,Status,ErrorText,DangerousGoodsUNNumber,DangerousGoodsWeight,LabelTemplate
6474,2022-10-17T16:18:27.5041400+00:00,Stefanie Wolfrum,,,3202189186,140313001112818969,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6475,2022-10-17T16:18:44.0405486+00:00,Christian Hammann,,,3202051387,140313001112791347,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6476,2022-10-17T16:19:08.8036163+00:00,Stefanie Wolfrum,,,3202189186,340313001610007555,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6477,2022-10-17T16:19:10.2860975+00:00,Christian Hammann,,,3202051387,140313001112791330,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6478,2022-10-17T16:20:09.3918475+00:00,Stefanie Wolfrum,,,3202189186,140313001112819010,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6479,2022-10-17T16:20:26.8176459+00:00,Stefanie Wolfrum,,,3202189186,140313001112819003,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6480,2022-10-17T16:21:03.0886274+00:00,Stefanie Wolfrum,,,3202189186,340313001610007562,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6481,2022-10-17T17:17:34.9811929+00:00,Stefanie Wolfrum,,,3202189179,140313001112821105,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6482,2022-10-17T17:18:02.1095747+00:00,Stefanie Wolfrum,,,3202189179,140313001112821099,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6483,2022-10-17T17:18:26.1459974+00:00,Stefanie Wolfrum,,,3202189179,140313001112821112,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6484,2022-10-17T17:18:56.3639847+00:00,Stefanie Wolfrum,,,3202189179,340313001610007579,DEBY-P473,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6485,2022-10-18T04:56:11.6675044+00:00,Thair Abdulabbas,,,3202166967,140313001112791712,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6486,2022-10-18T04:56:46.8253781+00:00,Thair Abdulabbas,,,3202166967,140313001112791699,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6487,2022-10-18T04:57:21.4449739+00:00,Thair Abdulabbas,,,3202166967,340313001610007586,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
6488,2022-10-18T04:58:00.1193235+00:00,Thair Abdulabbas,,,3202166967,140313001112791750,DEBY-P471,1,Printed,,,,../Labels/SuperDepot_148_210.nlbl
