Deliv. date(From/to),Name of the ship-to party,Sold-To Party,Delivery,Name,K&N Transportklasse,Zentrale Lieferstelle,Actual delivery qty,Gesamtgewicht Order,Kosten Picking Bayreuth,K&N_Kosten,TransportkostenLastMile_Fix_Kg_Preis,Paletten,Cases,Outers,Packs,Free of charge,Transportkosten
2024-01-10,tobaccoland Automatenges.mbH&Co.KG,50034039,3202658489,tobaccoland Automatenges.mbH&Co.KG,40.0,Nein,0.4,14.61,2.54,3.9606000000000003,2.5041539999999998,0,2,0,0,False,27.0
2024-01-11,AWB Tabakwaren-Großeinkauf GmbH,50033932,3202690169,AWB Tabakwaren-Großeinkauf GmbH,20.0,Tabacos_AWB Tabakwaren,1.5150000000000001,43.32,76.88,27.685699999999997,7.425047999999999,0,9,85,0,False,30.86
2024-01-11,Bernhard Hagemann GmbH & Co,50033960,3202690178,Bernhard Hagemann GmbH & Co,150.0,Nein,0.31,8.913,23.87,9.6434,1.5276882,0,0,31,0,False,46.3
2024-01-11,CITTI Märkte GmbH & Co. KG,50033752,3202607445,CITTI Märkte GmbH & Co. KG,175.0,Nein,0.05,1.8299999999999998,3.85,3.783,0.313662,0,0,5,0,False,48.23
2024-01-11,Dietz GmbH,50034284,3202607446,Dietz GmbH,90.0,Tabacos_AWB Tabakwaren,1.4,51.82000000000001,21.75,10.4255,8.881948000000001,0,5,20,0,False,54.02
2024-01-11,Dietz GmbH,50034284,3202690611,Dietz GmbH,90.0,Tabacos_AWB Tabakwaren,0.3,11.066,5.890000000000001,4.6607,1.8967124000000002,0,1,6,0,False,38.58
2024-01-11,Edeka Foodservice Stiftung & Co. KG,50034210,3202690610,EDEKA Foodservice,40.0,Nein,0.36,14.886,27.72,10.7704,2.5514604,0,0,36,0,False,27.0
2024-01-11,Edeka Foodservice Stiftung & Co. KG,50040595,3202607449,EDEKA Foodservice Stiftung & Co. KG,90.0,Nein,0.02,0.702,1.54,3.1068000000000002,0.1203228,0,0,2,0,False,36.65
2024-01-11,Edeka HG Südbayern mbH,50035393,3202690183,Edeka HG Südbayern mbH,100.0,Nein,0.44,18.085,2.54,3.9606000000000003,3.099769,0,2,0,0,False,40.51
2024-01-11,Erich Chr. Mack,50035361,3202647996,Erich Chr. Mack,150.0,Nein,0.4,18.25,2.54,3.9606000000000003,3.12805,0,2,0,0,False,50.16
2024-01-11,Gebr. Eikelberg KG,50034362,3202690159,Gebr. Eikelberg KG,40.0,Nein,0.13,4.549,14.63,6.9386,0.7796986,0,0,19,0,False,27.0
2024-01-11,Großhandel Jakobs GmbH,50035462,3202690182,Großhandel Jakobs GmbH,90.0,Tabacos_AWB Tabakwaren,0.55,19.401999999999997,31.03,12.3004,3.3255027999999998,0,2,37,0,False,38.58
